DOMAIN,NAMESERVER,TYPE,REASON,PROVIDER,DEPENDENCY,REDUNDANT,ENTITY_COUNT
llnwd.net,a8-66.akam.net,third,SOA mname points to third party: akam,akam,Critical dependency,False,1
llnwd.net,a3-65.akam.net,third,SOA mname points to third party: akam,akam,Critical dependency,False,1
llnwd.net,a14-65.akam.net,third,SOA mname points to third party: akam,akam,Critical dependency,False,1
llnwd.net,a6-64.akam.net,third,SOA mname points to third party: akam,akam,Critical dependency,False,1
llnwd.net,a11-64.akam.net,third,SOA mname points to third party: akam,akam,Critical dependency,False,1
llnwd.net,a1-205.akam.net,third,SOA mname points to third party: akam,akam,Critical dependency,False,1
lswcdn.net,ns0.leaseweb.com,third,SOA mname points to third party: leaseweb,leaseweb,Critical dependency,False,1
lswcdn.net,ns1.leaseweb.com,third,SOA mname points to third party: leaseweb,leaseweb,Critical dependency,False,1
mediavine.com,ns-cloud-a2.googledomains.com,third,SOA mname points to third party: googledomains,googledomains,Critical dependency,False,1
mediavine.com,ns-cloud-a4.googledomains.com,third,SOA mname points to third party: googledomains,googledomains,Critical dependency,False,1
mediavine.com,ns-cloud-a1.googledomains.com,third,SOA mname points to third party: googledomains,googledomains,Critical dependency,False,1
mediavine.com,ns-cloud-a3.googledomains.com,third,SOA mname points to third party: googledomains,googledomains,Critical dependency,False,1
mncdn.com,ns1.mncdn.com,private,NS TLD matches domain TLD,mncdn.com,Critical dependency,False,1
mncdn.com,ns2.mncdn.com,private,NS TLD matches domain TLD,mncdn.com,Critical dependency,False,1
msecnd.net,ns4-36.azure-dns.info,third,SOA mname points to third party: azure,azure,Critical dependency,False,1
msecnd.net,ns3-36.azure-dns.org,third,SOA mname points to third party: azure,azure,Critical dependency,False,1
msecnd.net,ns1-36.azure-dns.com,third,SOA mname points to third party: azure,azure,Critical dependency,False,1
msecnd.net,ns2-36.azure-dns.net,third,SOA mname points to third party: azure,azure,Critical dependency,False,1
netlify.com,ns04.netlifydns.com,private,"Domanin name is contained in the nameserver, signaling ownership",netlifydns.com,No critical dependency,False,1
netlify.com,ns01.netlifydns.com,private,"Domanin name is contained in the nameserver, signaling ownership",netlifydns.com,No critical dependency,False,1
netlify.com,ns02.netlifydns.com,private,"Domanin name is contained in the nameserver, signaling ownership",netlifydns.com,No critical dependency,False,1
netlify.com,ns03.netlifydns.com,private,"Domanin name is contained in the nameserver, signaling ownership",netlifydns.com,No critical dependency,False,1
netlify.com,dns4.p04.nsone.net,third,SOA mname points to third party: nsone,nsone,No critical dependency,False,1
netlify.com,dns1.p04.nsone.net,third,SOA mname points to third party: nsone,nsone,No critical dependency,False,1
netlify.com,dns3.p04.nsone.net,third,SOA mname points to third party: nsone,nsone,No critical dependency,False,1
netlify.com,dns2.p04.nsone.net,third,SOA mname points to third party: nsone,nsone,No critical dependency,False,1
nextjs.org,ns1.vercel-dns.com,third,SOA mname points to third party: vercel,vercel,Critical dependency,False,1
nextjs.org,ns2.vercel-dns.com,third,SOA mname points to third party: vercel,vercel,Critical dependency,False,1
nflximg.net,ns-613.awsdns-12.net,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
nflximg.net,ns-1474.awsdns-56.org,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
nflximg.net,ns-26.awsdns-03.com,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
nflximg.net,ns-1558.awsdns-02.co.uk,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
ngenix.net,ns.ngenix.net,private,NS TLD matches domain TLD,ngenix.net,Critical dependency,False,1
ngenix.net,ns1.ngenix.net,private,NS TLD matches domain TLD,ngenix.net,Critical dependency,False,1
onrender.com,ns-245.awsdns-30.com,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
onrender.com,ns-1324.awsdns-37.org,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
onrender.com,ns-1829.awsdns-36.co.uk,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
onrender.com,ns-813.awsdns-37.net,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
operacdn.com,nic2.opera.com,private,"Domanin name is contained in the nameserver, signaling ownership",opera.com,Critical dependency,False,1
operacdn.com,nic6.opera.com,private,"Domanin name is contained in the nameserver, signaling ownership",opera.com,Critical dependency,False,1
operacdn.com,nic1.opera.com,private,"Domanin name is contained in the nameserver, signaling ownership",opera.com,Critical dependency,False,1
operacdn.com,nic4.opera.com,private,"Domanin name is contained in the nameserver, signaling ownership",opera.com,Critical dependency,False,1
operacdn.com,nic3.opera.com,private,"Domanin name is contained in the nameserver, signaling ownership",opera.com,Critical dependency,False,1
oraclecloud.com,ns3.p201.dns.oraclecloud.net,private,"Domanin name is contained in the nameserver, signaling ownership",oraclecloud.net,No critical dependency,True,2
oraclecloud.com,ns4.p201.dns.oraclecloud.net,private,"Domanin name is contained in the nameserver, signaling ownership",oraclecloud.net,No critical dependency,True,2
