website,cdns,cdn_types,uses_third_party,critical_dependency,redundant,mult_third,step_id
emarsys.net,digicert,"{""digicert"": ""private""}",False,False,False,False,"step 5 (SOA), "
emart.com,twitter|amazon,"{""twitter"": ""private"", ""amazon"": ""private""}",False,False,True,False,"step 6, step 6, "
emblemhealth.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 6, "
emiliocavallini.com,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
emnuvens.com.br,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
emonitor.us,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
empflix.com,cloudflare|microsoft,"{""cloudflare"": ""private"", ""microsoft"": ""private""}",False,False,True,False,"step 5 (SOA), step 6, "
emusprint.com,twitter,"{""twitter"": ""private""}",False,False,False,False,"step 6, "
energybillcruncher.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
engadinemusic.com.au,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 7, "
englandrugby.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
engoo.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
enhanced.live,microsoft|amazon,"{""microsoft"": ""private"", ""amazon"": ""third""}",True,False,True,False,"step 3, step 5 (SOA), "
enlisted.net,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
enlivedental.com,microsoft|cloudflare,"{""microsoft"": ""private"", ""cloudflare"": ""third""}",True,False,True,False,"step 3, step 5 (SOA), "
enotalone.com,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 7, "
entersect.co.za,amazon|twitter,"{""amazon"": ""private"", ""twitter"": ""private""}",False,False,True,False,"step 5 (SOA), step 6, "
entitysport.com,cloudflare|twitter,"{""cloudflare"": ""private"", ""twitter"": ""private""}",False,False,True,False,"step 5 (SOA), step 6, "
enwikipedia.org,wikimedia,"{""wikimedia"": ""private""}",False,False,False,False,"step 3, "
eosusa.io,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
epicgames.com,amazon|cloudflare,"{""amazon"": ""private"", ""cloudflare"": ""private""}",False,False,True,False,"step 5 (SOA), step 6, "
epicgames.dev,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
eposnowhq.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
epreselec.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
epygicloud.com,apple|cloudflare,"{""apple"": ""private"", ""cloudflare"": ""third""}",True,False,True,False,"step 3, step 5 (SOA), "
equidia.fr,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
equip-bid.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
eqxiu.com,tencent,"{""tencent"": ""private""}",False,False,False,False,"step 6, "
erasmusu.com,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
ercdn.net,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
ericomcloud.net,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
eriehome.com,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 7, "
